,course,student,hoursWork_mean,ETA_mean,numAttendence_max,age,numChildren,enrollmentTime,distance,work,isSingle,grade
0,0,0,5.0,0.5983810159348663,13,29,2.0,9,22,1,0,5.33
40,1,0,5.583333333333333,0.6030584034733963,9,29,2.0,9,22,1,0,3.73
1000,25,0,4.583333333333333,0.8395279016690966,7,29,2.0,9,22,1,0,2.54
1080,27,0,5.166666666666667,1.0096870515089187,7,29,2.0,9,22,1,0,2.86
1160,29,0,4.916666666666667,0.9018281066798285,13,29,2.0,9,22,1,0,4.34
1320,33,0,5.166666666666667,0.8967751066359776,15,29,2.0,9,22,1,0,4.61
1600,40,0,6.166666666666667,0.7810956438346298,12,29,2.0,9,22,1,0,4.1
2080,52,0,5.416666666666667,0.6162848056631679,13,29,2.0,9,22,1,0,5.07
2120,53,0,5.666666666666667,0.6311227008454676,9,29,2.0,9,22,1,0,4.64
2680,67,0,4.75,1.0220206464712078,15,29,2.0,9,22,1,0,3.88
2840,71,0,5.0,1.1097827133250677,14,29,2.0,9,22,1,0,4.25
2920,73,0,5.166666666666667,0.9552560955981008,11,29,2.0,9,22,1,0,3.96
3600,90,0,4.416666666666667,0.8920965807815628,14,29,2.0,9,22,1,0,5.07
3960,99,0,4.916666666666667,0.5943868091038803,12,29,2.0,9,22,1,0,5.47
4560,114,0,5.083333333333333,0.9116173531271915,12,29,2.0,9,22,1,0,5.17
4720,118,0,4.583333333333333,0.8861995627734983,14,29,2.0,9,22,1,0,5.83
5120,128,0,5.083333333333333,0.8548363670529159,11,29,2.0,9,22,1,0,5.08
5400,135,0,5.333333333333333,0.59840276766134,13,29,2.0,9,22,1,0,5.76
5760,144,0,5.083333333333333,0.9157759627864169,12,29,2.0,9,22,1,0,4.94
6080,152,0,4.916666666666667,0.8467201941833044,11,29,2.0,9,22,1,0,4.24
6240,156,0,4.916666666666667,0.8097204697139437,14,29,2.0,9,22,1,0,4.42
6320,158,0,5.75,0.6526883413551131,8,29,2.0,9,22,1,0,3.14
7680,192,0,4.666666666666667,0.9636921714905116,11,29,2.0,9,22,1,0,4.44
7840,196,0,5.25,0.6123163581815184,14,29,2.0,9,22,1,0,4.67
7880,197,0,5.083333333333333,1.087135671770659,12,29,2.0,9,22,1,0,3.54
7920,198,0,5.25,0.9709739056946539,13,29,2.0,9,22,1,0,3.96
1,0,3,0.0,0.2761618191936233,22,26,0.0,5,11,0,0,9.73
960,24,3,0.0,0.2893838178792184,21,26,0.0,5,11,0,0,9.0
1041,26,3,0.0,0.46243568742198,20,26,0.0,5,11,0,0,9.64
1680,42,3,0.0,0.2753158817661106,22,26,0.0,5,11,0,0,8.97
2122,53,3,0.0,0.27137408111074285,22,26,0.0,5,11,0,0,9.77
2160,54,3,0.0,0.3861992951136188,20,26,0.0,5,11,0,0,8.57
2241,56,3,0.0,0.4576894154570857,18,26,0.0,5,11,0,0,7.6
2481,62,3,0.0,0.49171486121337726,18,26,0.0,5,11,0,0,8.32
3280,82,3,0.0,0.42793987091666486,19,26,0.0,5,11,0,0,9.65
3360,84,3,0.0,0.2801410936962749,21,26,0.0,5,11,0,0,9.6
3440,86,3,0.0,0.2752373776614116,21,26,0.0,5,11,0,0,10.0
3882,97,3,0.0,0.49974773034219755,18,26,0.0,5,11,0,0,9.51
3961,99,3,0.0,0.2747807627933733,19,26,0.0,5,11,0,0,8.74
4000,100,3,0.0,0.40627228412921296,19,26,0.0,5,11,0,0,8.83
4160,104,3,0.0,0.27013575171605897,20,26,0.0,5,11,0,0,9.3
4320,108,3,0.0,0.3805934448600024,18,26,0.0,5,11,0,0,7.99
4440,111,3,0.0,0.41485030029467773,16,26,0.0,5,11,0,0,8.06
4601,115,3,0.0,0.2775909335173674,23,26,0.0,5,11,0,0,9.33
5520,138,3,0.0,0.4737421934634614,14,26,0.0,5,11,0,0,8.48
5680,142,3,0.0,0.2986237400076915,22,26,0.0,5,11,0,0,9.86
5960,149,3,0.0,0.3565490775640639,20,26,0.0,5,11,0,0,8.49
6040,151,3,0.0,0.2711567321291319,23,26,0.0,5,11,0,0,9.43
6120,153,3,0.0,0.40737593589172144,17,26,0.0,5,11,0,0,7.85
6361,159,3,0.0,0.29015857221965374,21,26,0.0,5,11,0,0,8.82
6480,162,3,0.0,0.39209631192727495,17,26,0.0,5,11,0,0,7.98
7240,181,3,0.0,0.4829374148591128,21,26,0.0,5,11,0,0,8.86
7881,197,3,0.0,0.48030927488410574,17,26,0.0,5,11,0,0,8.48
2,0,16,5.166666666666667,0.4811491481571169,11,30,2.0,6,19,1,1,6.23
41,1,16,5.583333333333333,0.51026505850725,14,30,2.0,6,19,1,1,6.72
285,7,16,5.583333333333333,0.8247364957742378,14,30,2.0,6,19,1,1,6.3
883,22,16,5.083333333333333,0.8207981770794225,11,30,2.0,6,19,1,1,5.54
1121,28,16,4.833333333333333,0.5134051358055093,16,30,2.0,6,19,1,1,7.04
1721,43,16,5.583333333333333,0.9453103059674594,10,30,2.0,6,19,1,1,5.59
1843,46,16,5.25,0.943189444123858,12,30,2.0,6,19,1,1,5.47
2243,56,16,5.166666666666667,0.801083041824871,13,30,2.0,6,19,1,1,5.91
2322,58,16,5.25,0.8105522885851166,11,30,2.0,6,19,1,1,5.7
2443,61,16,5.583333333333333,0.9912517906366222,12,30,2.0,6,19,1,1,6.0
2764,69,16,5.666666666666667,0.7838962536219655,9,30,2.0,6,19,1,1,4.78
2801,70,16,5.583333333333333,0.5160360867924128,11,30,2.0,6,19,1,1,6.21
2883,72,16,5.916666666666667,0.6878074411373443,9,30,2.0,6,19,1,1,5.29
3763,94,16,4.666666666666667,0.7970290033988956,15,30,2.0,6,19,1,1,6.33
